	Temps [s]	T1MID [°C]	
658	40,086	67,122	
659	40,087	67,121	
660	40,09	67,117	
661	40,095	67,111	
662	40,1	67,105	
663	40,105	67,099	
664	40,11	67,093	
665	40,115	67,087	
666	40,12	67,081	
667	40,125	67,075	
668	40,13	67,069	
669	40,135	67,063	
670	40,14	67,057	
671	40,145	67,051	
672	40,15	67,045	
673	40,155	67,039	
674	40,16	67,033	
675	40,165	67,027	
676	40,17	67,021	
677	40,17	67,021	
678	40,17	67,02	
679	40,17	67,02	
680	40,171	67,02	
681	40,171	67,019	
682	40,272	66,897	
683	40,372	66,776	
684	40,472	66,656	
685	40,572	66,538	
686	40,672	66,426	
687	40,772	66,32	
688	40,872	66,223	
689	40,972	66,137	
690	41,072	66,063	
691	41,172	66,003	
692	41,272	65,956	
693	41,372	65,922	
694	41,472	65,902	
695	41,572	65,893	
696	41,672	65,896	
697	41,772	65,907	
698	41,872	65,927	
699	41,972	65,953	
700	42,072	65,984	
701	42,172	66,019	
702	42,272	66,056	
703	42,372	66,095	
704	42,472	66,133	
705	42,572	66,17	
706	42,672	66,206	
707	42,772	66,24	
708	42,872	66,27	
709	42,972	66,297	
710	43,072	66,32	
711	43,172	66,339	
712	43,272	66,353	
713	43,372	66,363	
714	43,472	66,368	
715	43,572	66,368	
716	43,672	66,363	
717	43,772	66,354	
718	43,872	66,34	
719	43,972	66,322	
720	44,072	66,299	
721	44,172	66,271	
722	44,272	66,24	
723	44,372	66,205	
724	44,472	66,165	
725	44,572	66,122	
726	44,672	66,076	
727	44,772	66,026	
728	44,872	65,974	
729	44,972	65,918	
730	45,072	65,859	
731	45,172	65,798	
732	45,272	65,735	
733	45,372	65,669	
734	45,472	65,601	
735	45,572	65,532	
736	45,672	65,46	
737	45,738	65,412	
738	45,805	65,363	
739	45,806	65,362	
740	45,807	65,361	
741	45,81	65,359	
742	45,815	65,355	
743	45,82	65,352	
744	45,825	65,348	
745	45,83	65,344	
746	45,835	65,341	
747	45,84	65,337	
748	45,845	65,333	
749	45,85	65,329	
750	45,855	65,326	
751	45,86	65,322	
752	45,865	65,318	
753	45,87	65,315	
754	45,875	65,311	
755	45,88	65,307	
756	45,885	65,303	
757	45,89	65,3	
758	45,89	65,3	
759	45,89	65,299	
760	45,89	65,299	
761	45,891	65,299	
762	45,891	65,299	
763	45,991	65,222	
764	46,091	65,145	
765	46,191	65,067	
766	46,291	64,988	
